path,label,label_text,split
data\raw\train\deer\deer_train_00000.jpg,4,deer,train
data\raw\train\swan\swan_train_00001.jpg,7,swan,train
data\raw\train\rabbit\rabbit_train_00002.jpg,3,rabbit,train
data\raw\train\rabbit\rabbit_train_00003.jpg,3,rabbit,train
data\raw\train\swan\swan_train_00004.jpg,7,swan,train
data\raw\train\rabbit\rabbit_train_00005.jpg,3,rabbit,train
data\raw\train\llama\llama_train_00006.jpg,2,llama,train
data\raw\train\deer\deer_train_00007.jpg,4,deer,train
data\raw\train\deer\deer_train_00008.jpg,4,deer,train
data\raw\train\snail\snail_train_00009.jpg,6,snail,train
data\raw\train\bird\bird_train_00010.jpg,0,bird,train
data\raw\train\snail\snail_train_00011.jpg,6,snail,train
data\raw\train\dog\dog_train_00012.jpg,5,dog,train
data\raw\train\deer\deer_train_00013.jpg,4,deer,train
data\raw\train\bird\bird_train_00014.jpg,0,bird,train
data\raw\train\swan\swan_train_00015.jpg,7,swan,train
data\raw\train\llama\llama_train_00016.jpg,2,llama,train
data\raw\train\deer\deer_train_00017.jpg,4,deer,train
data\raw\train\bird\bird_train_00018.jpg,0,bird,train
data\raw\train\deer\deer_train_00019.jpg,4,deer,train
data\raw\train\dog\dog_train_00020.jpg,5,dog,train
data\raw\train\bird\bird_train_00021.jpg,0,bird,train
data\raw\train\swan\swan_train_00022.jpg,7,swan,train
data\raw\train\llama\llama_train_00023.jpg,2,llama,train
data\raw\train\swan\swan_train_00024.jpg,7,swan,train
data\raw\train\deer\deer_train_00025.jpg,4,deer,train
data\raw\train\llama\llama_train_00026.jpg,2,llama,train
data\raw\train\dog\dog_train_00027.jpg,5,dog,train
data\raw\train\deer\deer_train_00028.jpg,4,deer,train
data\raw\train\bird\bird_train_00029.jpg,0,bird,train
data\raw\train\rabbit\rabbit_train_00030.jpg,3,rabbit,train
data\raw\train\dog\dog_train_00031.jpg,5,dog,train
data\raw\train\llama\llama_train_00032.jpg,2,llama,train
data\raw\train\swan\swan_train_00033.jpg,7,swan,train
data\raw\train\llama\llama_train_00034.jpg,2,llama,train
data\raw\train\dog\dog_train_00035.jpg,5,dog,train
data\raw\train\bird\bird_train_00036.jpg,0,bird,train
data\raw\train\swan\swan_train_00037.jpg,7,swan,train
data\raw\train\llama\llama_train_00038.jpg,2,llama,train
data\raw\train\rabbit\rabbit_train_00039.jpg,3,rabbit,train
data\raw\train\swan\swan_train_00040.jpg,7,swan,train
data\raw\train\rabbit\rabbit_train_00041.jpg,3,rabbit,train
data\raw\train\deer\deer_train_00042.jpg,4,deer,train
data\raw\train\rabbit\rabbit_train_00043.jpg,3,rabbit,train
data\raw\train\swan\swan_train_00044.jpg,7,swan,train
data\raw\train\deer\deer_train_00045.jpg,4,deer,train
data\raw\train\llama\llama_train_00046.jpg,2,llama,train
data\raw\train\rabbit\rabbit_train_00047.jpg,3,rabbit,train
data\raw\train\swan\swan_train_00048.jpg,7,swan,train
data\raw\train\deer\deer_train_00049.jpg,4,deer,train
data\raw\train\bird\bird_train_00050.jpg,0,bird,train
data\raw\train\swan\swan_train_00051.jpg,7,swan,train
data\raw\train\cat\cat_train_00052.jpg,1,cat,train
data\raw\train\llama\llama_train_00053.jpg,2,llama,train
data\raw\train\bird\bird_train_00054.jpg,0,bird,train
data\raw\train\cat\cat_train_00055.jpg,1,cat,train
data\raw\train\dog\dog_train_00056.jpg,5,dog,train
data\raw\train\deer\deer_train_00057.jpg,4,deer,train
data\raw\train\dog\dog_train_00058.jpg,5,dog,train
data\raw\train\llama\llama_train_00059.jpg,2,llama,train
data\raw\train\snail\snail_train_00060.jpg,6,snail,train
data\raw\train\cat\cat_train_00061.jpg,1,cat,train
data\raw\train\deer\deer_train_00062.jpg,4,deer,train
data\raw\train\dog\dog_train_00063.jpg,5,dog,train
data\raw\train\dog\dog_train_00064.jpg,5,dog,train
data\raw\train\swan\swan_train_00065.jpg,7,swan,train
data\raw\train\cat\cat_train_00066.jpg,1,cat,train
data\raw\train\swan\swan_train_00067.jpg,7,swan,train
data\raw\train\llama\llama_train_00068.jpg,2,llama,train
data\raw\train\snail\snail_train_00069.jpg,6,snail,train
data\raw\train\dog\dog_train_00070.jpg,5,dog,train
data\raw\train\dog\dog_train_00071.jpg,5,dog,train
